Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
ARCHS4_Tissues,NEURONAL PROGENITOR CELLS,73/2316,0.4817035065466462,0.9999939838540424,0,0,1.011988092820333,0.7391829063593742,SUV39H2;WIPF3;CCNF;MAST1;ENO1;FGF2;PTPRF;CKS1B;GCSH;MRPL42;LSM12;PTTG1;PPAT;STMN1;PBK;DNMT3B;PHGDH;MYBL2;TK1;SPA17;ZNF521;TEAD2;HIST1H1B;ARG2;RFC3;CCDC34;KIF23;TUBG1;KNSTRN;MOB3B;CDC25A;CCNA2;PSRC1;CTTN;FEZ1;HMBS;BIRC5;BCAT1;PAFAH1B3;PDE9A;DTYMK;SET;CHRNA5;WNK4;WRN;TBXA2R;EXOSC8;WASF1;E2F5;MYH10;GINS2;TFAP2B;CCDC138;GGH;CDC6;PAICS;MLLT11;CENPF;KIF18A;MEX3A;TMEM98;CENPH;PRC1;PSAT1;AXL;UBE2T;NOSTRIN;ANP32E;CENPM;ERCC8;AUNIP;SAE1;MAD2L1
ARCHS4_Tissues,LUNG EPITHELIAL CELL,71/2316,0.5827708857674708,0.9999939838540424,0,0,0.9797146159639464,0.5290078421661378,B4GALT2;BTG3;DHRS13;FEN1;ZMYND19;RFESD;CPNE7;CLTB;HGH1;FGF2;PTPRF;CKS1B;COMTD1;FDXR;PBK;PHGDH;MYBL2;TK1;PITX1;HRAS;TEAD2;SNTA1;TEAD4;PROSER2;RFC3;SPHK1;RRAS2;KIF23;MANEAL;SLC39A14;ATAD3A;CDC25A;CCNA2;SLC7A5;ARL4D;TFDP1;PSRC1;TRAF4;CDC42EP1;BIRC5;TLCD1;RHCE;SLC1A5;KRBA1;SLC7A1;TMEM201;CDC45;GNA11;DVL1;HES4;SLC10A4;GADD45A;GDF15;ASNS;PYCR1;GGH;CDC6;DOHH;NPM3;MYO19;CENPH;PRC1;PSAT1;UBE2S;FASN;UBE2T;CENPM;LHX6;AUNIP;AMOTL1;MRAP2
ARCHS4_Tissues,BLASTOCYST,69/2316,0.6793521814107658,0.9999939838540424,0,0,0.947730908478572,0.3664075626249655,DHRS13;POP7;PINX1;HGH1;GPATCH4;HCCS;AQP3;PDCD2L;RRP9;CKS1B;NTMT1;FDXR;DNMT3B;MYBL2;TK1;PITX1;TEAD4;PROSER2;JMJD4;RFC3;CCDC34;RRAS2;MRPS2;ATAD3B;KNSTRN;ATAD3A;MOB3B;CDC25A;CCNA2;ARL4D;GAL;CCDC86;GNB1L;TLCD1;RPP25;SLC27A4;RAI14;DCUN1D5;TIMM9;AK4;MRPL12;GATA2;SRM;TMEM201;CDC45;FAM184A;DPH2;EEF2KMT;STXBP6;EMC6;LYAR;PPP1R14A;GINS2;TIMM8A;SURF2;WDR18;RPP40;CDC6;NPM3;NLE1;BYSL;YRDC;BOP1;UBE2T;POLR3G;TAF4B;AUNIP;RTN4IP1;MAD2L1
ARCHS4_Tissues,NATURAL KILLER CELLS,69/2316,0.6793521814107658,0.9999939838540424,0,0,0.947730908478572,0.3664075626249655,PRR5;DHRS13;B4GALT3;OXNAD1;POP7;NXT1;CPNE7;CCNF;CCDC124;ARPC5L;ICAM2;HGH1;PDCD2L;RRP9;HIST2H2AC;MRPL41;COMTD1;NTMT1;FDXR;HIST1H1D;ACP5;HIST1H1E;SSSCA1;PIP4K2C;TK1;HIST1H1B;JMJD4;CISH;TESC;FBXW9;PAM16;MRPS2;HBA1;SYNGR3;TPST2;FEZ1;GNB1L;CHST2;TSTA3;SMIM4;GYPC;TXK;MRPS34;MRPL14;TIMM10;MRPL12;HSPBP1;EXOSC5;SOCS1;AMDHD2;DPH2;MED31;EEF2KMT;EMC6;LYAR;SLC38A5;PRELID1;RNF25;SURF2;USP21;WDR18;APEX2;DOHH;NPM3;KLF1;EFNA3;CENPM;ITM2A;CD320
ARCHS4_Tissues,CORD BLOOD,68/2316,0.7241203199339294,0.9999939838540424,0,0,0.9318466934637344,0.3007979811905867,PNMT;ALAS2;NXT1;NDUFA12;AQP10;PDCD5;MRPS12;ENO1;MRPL37;HBD;NUDT5;ATP5G1;CKS1B;MRPL41;TMEM147;FAM162A;C1QBP;CTSH;SNRPD3;PROSER2;HBZ;TESC;PAM16;CACYBP;MIF;HBA1;SRRM1;KEL;HMBS;BLVRB;PFDN2;EEF1E1;PTMA;SNRPB;GTF2A2;SMIM4;GYPC;GYPB;TIMM13;DDX21;TIMM10;TXN;MRPL12;PSMA7;LDHA;CDC45;PMAIP1;EMC6;LYAR;PPP1R14A;RANBP1;PRELID1;NOP16;HBG2;HBG1;HSPE1;KLF1;CCT6A;RGCC;CENPH;NDUFAB1;CYCS;RHAG;ANP32B;SLIRP;SSBP1;TOMM5;RAN
ARCHS4_Tissues,KERATINOCYTE,68/2316,0.7241203199339294,0.9999939838540424,0,0,0.9318466934637344,0.3007979811905867,B4GALT2;ZMYND19;POP1;SLC35F2;CPNE7;AQP10;PINX1;CLTB;SLC2A1;AQP3;PTPRF;RRP9;HIST2H2AC;DUSP14;COMTD1;TUBB6;MYC;FDXR;PBK;CHAC2;PIP4K2C;HRAS;HIST1H1B;TEAD4;PROSER2;SPHK1;RRAS2;ATAD3A;CDC25A;SLC7A5;ARL4D;TRAF4;CDC42EP1;TLCD1;CTXN1;SLC27A4;SDCCAG3;ENDOD1;SLC1A5;KRBA1;SLC7A1;MTHFD1L;RNF217;DVL1;PMAIP1;HOXC9;HOXC8;SLC38A5;FAM83A;HES4;PPP1R14B;GALNT5;RNF25;GADD45A;GDF15;PYCR1;DOHH;TPD52L1;NPM3;BYSL;YRDC;EFNA3;FAM212A;PSAT1;FASN;POLR3G;TAF4B;AMOTL1
ARCHS4_Tissues,BONE MARROW (BULK TISSUE),65/2316,0.8379609872849403,0.9999939838540424,0,0,0.884619755560836,0.1563863836788103,ICAM2;ENO1;HBD;ATP5G1;WDR43;HIST2H2AC;FAM216A;LAPTM4B;FAM178B;HHEX;UROD;MYC;RUVBL2;C1QBP;STMN1;HIST1H1D;HIST1H1E;PITX1;ZNF521;HIST1H1B;EIF5A;CCT2;NUDC;PRMT1;MIF;C12ORF45;TAL1;NCL;NHP2;BCAT1;FXN;PTMA;SNRPB;BEX4;HEMGN;SET;GYPC;GYPB;TIMM13;AK2;TXN;GATA2;MLLT3;PMF1;TIMM50;SOCS2;LDHA;EXOSC5;AFMID;EXOSC8;POLD2;HBQ1;STAT5A;XBP1;CCDC58;RPP40;KLF1;FAM212A;CMSS1;CDK4;RHAG;ANP32B;SLIRP;HIST1H4C;ITM2A
ARCHS4_Tissues,MIDBRAIN,64/2316,0.8681242899555799,0.9999939838540424,0,0,0.8690180157320477,0.1228968609486079,MAST1;SLC2A1;PTPRF;MRPL42;PTTG1;STMN1;PBK;KIF21A;CEP290;ZNF521;HMGCS1;CCDC34;CMC2;F2R;ALG14;CD3EAP;FRMD4A;CACYBP;NAV1;SRRM1;RNF144A;C12ORF45;ARL4D;ARL4A;TRAF4;FEZ1;BIRC5;CRYAB;PAFAH1B3;TRIB2;PTMA;BEX4;CHRNA5;EI24;ODC1;WNK4;AGAP1;TUBD1;MLLT3;ZFP36L1;HSPD1;MXI1;POLR2F;CKB;APOE;MYH10;ABCF1;HBG2;HBG1;HSPE1;PAICS;MLLT11;SQLE;MEX3A;TSPAN13;TMEM98;NFIA;AXL;UBE2S;WNK2;CYCS;HIST1H4C;POLR3K;RAN
ARCHS4_Tissues,ASTROCYTE,63/2316,0.8942783924407358,0.9999939838540424,0,0,0.8534859047117213,0.0953669371901473,B4GALT2;ZMYND19;CPNE7;SLC2A1;HGH1;FGF2;PTPRF;DUSP14;TUBB6;FDXR;PBK;CAPN2;SACS;HRAS;TEAD2;TEAD4;SPHK1;F2R;FBXW9;RRAS2;ATAD3A;SLC7A5;ARL4D;PSRC1;TRAF4;FEZ1;CDC42EP4;CDC42EP1;TLCD1;CTXN1;CHST2;SLC27A4;RAI14;MYRF;ENDOD1;WNK4;NEXN;LRP3;KRBA1;DPCD;CNN1;TMEM201;MTHFD1L;DVL1;HES4;SLC10A4;PPP1R14B;GALNT5;RNF25;GADD45A;GDF15;GALNT2;PYCR1;DOHH;NPM3;MLLT11;BOP1;MEX3A;TMEM98;FASN;CARM1;AMOTL1;MRAP2
ARCHS4_Tissues,WHARTONS JELLY,61/2316,0.9351744070151128,0.9999939838540424,0,0,0.8226290107241456,0.0551344353034357,B4GALT2;ZMYND19;POP1;CPNE7;FGF2;HIST2H2AC;DUSP14;TUBB6;FDXR;PBK;CAPN2;SACS;HIST1H1D;HIST1H1E;CHAC2;TK1;PITX1;HRAS;TEAD2;HIST1H1B;TEAD4;GLCE;SPHK1;RRAS2;KIF23;SLC39A14;ATAD3A;CDC25A;GCAT;CPED1;CCNA2;TLCD1;BCAT1;RPP25;RAI14;ENDOD1;LRP3;SLC1A5;CNN1;CDC45;RELN;BAG2;MTHFD1L;DVL1;HOXC9;HOXC8;SLC38A5;FAM83A;PPP1R14B;GALNT5;RNF25;GDF15;PYCR1;NPM3;CENPF;KIF18A;PRC1;AXL;UBE2S;AMOTL1;C5ORF30
